Indicator,Unit,Monetisation method,Indicator definition
Paraquat,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Paraquat [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Parathion,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Parathion [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Particulate matter formation - pmfp,kg pm10-eq,"The cost represents compensation for pollution's social impact, measuring the economic loss from health damage due to emissions. It includes morbidity (illness) and premature mortality, valued using Disability Adjusted Life Years (DALY). Monetization factors are derived from ReCiPe 2016 midpoint-to-endpoint conversions for particulate matter formation.","Particulate Matter Formation [kg Pm10 Eq] Refers To The Quantification Of Air Pollution Caused By The Release Of Fine Particulate Matter (pm10), Which Are Particles Smaller Than 10 Micrometers In Diameter. These Particles Are Typically Formed Through Industrial Processes, Combustion Of Fossil Fuels, And Chemical Reactions In The Atmosphere. Pm10 Is A Major Concern For Both Environmental And Human Health As It Can Penetrate Deep Into The Lungs, Leading To Respiratory And Cardiovascular Diseases, And Can Also Cause Environmental Degradation, Like Smog Formation And Reduced Air Quality.                                                                "
Pendimethalin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Pendimethalin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Permethrin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Permethrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Phenmedipham,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Phenmedipham [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Phorate,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Phorate [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Phosalone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Phosalone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Phosmet,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Phosmet [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Phosphamidon,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Phosphamidon [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Photochemical oxidant formation,kg NMVOC,No factor available,"Represents The Formation Of Ground-level Ozone (smog) From Volatile Organic Compounds (nmvocs), Impacting Air Quality And Human Health.                                                                                                                                     "
Photochemical oxidant formation - pofp,kg nmvoc,No factor available,"Photochemical Oxidant Formation [kg Nmvoc] Measures The Formation Of Ground-level Ozone, Expressed In Kilograms Of Non-methane Volatile Organic Compounds (nmvocs) Equivalent. Nmvocs, Along With Nitrogen Oxides (nox), Are Key Precursors In The Formation Of Ozone Through Chemical Reactions Driven By Sunlight. This Category Is Significant Because Ground-level Ozone Is Harmful To Human Health, Causing Respiratory Issues, And Also Damages Crops And Ecosystems.                                                                                         "
Phoxim,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Phoxim [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Picloram,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Picloram [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Picoxystrobin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Picoxystrobin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Pirimicarb,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Pirimicarb [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Pirimiphos-methyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Pirimiphos-methyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Prevalence of excessive working time,FTE/kg,"The cost includes compensation, prevention, and retribution. Compensation covers the wage gap from underpaid overtime, adjusted for inflation. Prevention funds auditing to avoid future cases. Retribution applies a global penalty for excessive or underpaid overtime.","This Metric Quantifies The Share Of Agricultural Workers Who Work Beyond Legally Permitted Or Internationally Recommended Working Hours, Relative To The Output Produced. Excessive Working Time Is Associated With Risks Of Fatigue, Occupational Accidents, And Reduced Well-being.                                                                                                                  "
Prevalence of forced workers in situations of debt bondage,FTE/kg,"The cost includes restoration, compensation, prevention, and retribution. Restoration covers lost earnings and reintegration costs for forced workers. Compensation values health impacts using DALY for abuse victims. Prevention funds auditing to prevent future cases. Retribution applies a global penalty for forced labor. Additional costs for harassment may be included if applicable.","Quantifies The Number Of Individuals Trapped In Exploitative Labor Due To Debts They Cannot Repay, A Severe Form Of Modern Slavery.                                                                                                                                  "
"Prevalence of modern slavery (forced workers, most severe)",FTE/kg,"The cost includes restoration, compensation, prevention, and retribution. Restoration covers lost earnings and reintegration costs for forced workers. Compensation values health impacts using DALY for abuse victims. Prevention funds auditing to prevent future cases. Retribution applies a global penalty for forced labor. Additional costs for harassment may be included if applicable.","Tracks Extreme Cases Of Forced Labor Where Workers Face Threats, Violence, Or Complete Loss Of Autonomy, Highlighting Severe Exploitation.                                                                                                                                    "
Prochloraz,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Prochloraz [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Procymidone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Procymidone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Profenofos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Profenofos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Propachlor,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Propachlor [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Propanil,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Propanil [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Propargite,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Propargite [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Propiconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Propiconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Propoxur,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Propoxur [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Prothioconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Prothioconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Pyraclostrobin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Pyraclostrobin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Pyrazophos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Pyrazophos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Pyriproxyfen,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Pyriproxyfen [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Pyroxsulam,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Pyroxsulam [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Quinalphos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Quinalphos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Quinoxyfen,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Quinoxyfen [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Rotenone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Rotenone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Saflufenacil,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Saflufenacil [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Simazine,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Simazine [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Spirodiclofen,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Spirodiclofen [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Spiromesifen,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Spiromesifen [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Stratospheric ozone depletion,kg cfc11 eq,"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at human health damage (morbidity, i.e., sickness and disease, and premature mortality). The endpoint valuation of human health is based on valuation of a DALY (Disability Adjusted Life Year). The global Recipe 2016 midpoint to endpoint conversion factor for Ozone layer depleting emissions is utilised to derive the monetisation factor (Huijbregts et al., 2016). The monetisation factor for ozone layer depleting emissions also includes the cost of damage to agricultural crops taken from CE Delft (De Bruyn et al., 2018). The cost of damage to agricultural crops represents average damage costs for ozone depletion for an average emission source in the Netherlands. Although the damage could be different in different geographies, for example because of different thickness of the ozone layer, at the moment the value is used without adjustments for different countries due to the lack of an appropriate coefficient for regional adjustments. (True Price 2023)","Ozone Depletion [kg Cfc-11-eq] Measures The Potential For Substances To Deplete The Ozone Layer, Expressed In Kilograms Of Cfc-11 (trichlorofluoromethane) Equivalent. The Ozone Layer In The Earth's Stratosphere Protects Life By Blocking Harmful Ultraviolet (uv) Radiation From The Sun. Ozone-depleting Substances (ods) Such As Chlorofluorocarbons (cfcs), Halons, And Other Halogenated Compounds Can Break Down Ozone Molecules, Thinning This Protective Layer. Ozone Depletion Leads To Increased Uv Radiation Reaching The Earth's Surface, Which Can Cause Skin Cancer, Cataracts, And Immune System Suppression In Humans, As Well As Harm Ecosystems, Marine Life, And Agriculture.                                                           "
Sulcotrione,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Sulcotrione [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Tebuconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Tebuconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Tebufenozide,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Tebufenozide [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Tebufenpyrad,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Tebufenpyrad [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Teflubenzuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Teflubenzuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Terbufos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Terbufos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Terrestrial acidification,kg so2 eq,"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost, as described above for ecotoxicity. Recipe 2016 midpoint to endpoint conversion factors for acidification are utilised to derive the monetisation factors (Huijbregts et al., 2016). At midpoint level, the indicator has only global monetisation. Country-specific conversion factors can be used for individual gases (NH3, SOx, NOx), with the method described in (Galgani, Woltjer, et al., 2023). (True Price 2023)","Terrestrial Acidification Occurs When Soil Acidity Deviates Detrimentally From This Optimal Level. Environmental Acidification Is Caused By Sulfur And Nitrogen Oxides Emitted By Anthropogenic And Natural Sources. On Farmland, The Main Causes Of Soil Acidification Are The Application Of Ammonium- And Urea-based Fertilizers, Elemental Sulfur-based Fertilizers And Legume Growth. Acidification Leads To The Deterioration Of Forests And Surface Waters, Particularly In Areas With Poor Soil Quality. It Also Has An Impact On Crop Growth, And Therefore Yields, As Soil Ph Affects The Bioavailability Of Plant Nutrients.                                                                 "
Terrestrial acidification - tap100,kg so2-eq,"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost, as described above for ecotoxicity. Recipe 2016 midpoint to endpoint conversion factors for acidification are utilised to derive the monetisation factors (Huijbregts et al., 2016). At midpoint level, the indicator has only global monetisation. Country-specific conversion factors can be used for individual gases (NH3, SOx, NOx), with the method described in (Galgani, Woltjer, et al., 2023). (True Price 2023)","Terrestrial Acidification Occurs When Soil Acidity Deviates Detrimentally From This Optimal Level. Environmental Acidification Is Caused By Sulfur And Nitrogen Oxides Emitted By Anthropogenic And Natural Sources. On Farmland, The Main Causes Of Soil Acidification Are The Application Of Ammonium- And Urea-based Fertilizers, Elemental Sulfur-based Fertilizers And Legume Growth. Acidification Leads To The Deterioration Of Forests And Surface Waters, Particularly In Areas With Poor Soil Quality. It Also Has An Impact On Crop Growth, And Therefore Yields, As Soil Ph Affects The Bioavailability Of Plant Nutrients.                                                                 "
Terrestrial ecotoxicity,"kg 1,4-dcb","A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)","Terrestrial Ecotoxicity [kg 1,4-dcb] Refers To The Potential Of Biological, Chemical Or Physical Stressors To Affect Terrestrial Ecosystems. The Contamination Of Ecosystems By Toxic Chemicals From Human Activities Has Become A Global Problem, With Millions Of Tonnes Of Potentially Toxic Chemicals Entering The Environment Every Year. Many Of These Chemicals Produce Toxic Metabolites That Have Harmful Effects On Living Organisms And Are Liable To Bioaccumulate And Biomagnify. Pesticide Inputs To Soils And Adjacent Water Bodies Are The Result Of Agricultural Activities.                                                                      "
Terrestrial ecotoxicity - tetpinf,"kg 1,4-dcb-eq","A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)","Terrestrial Ecotoxicity [kg 1,4-dcb] Refers To The Potential Of Biological, Chemical Or Physical Stressors To Affect Terrestrial Ecosystems. The Contamination Of Ecosystems By Toxic Chemicals From Human Activities Has Become A Global Problem, With Millions Of Tonnes Of Potentially Toxic Chemicals Entering The Environment Every Year. Many Of These Chemicals Produce Toxic Metabolites That Have Harmful Effects On Living Organisms And Are Liable To Bioaccumulate And Biomagnify. Pesticide Inputs To Soils And Adjacent Water Bodies Are The Result Of Agricultural Activities.                                                                      "
Thiabendazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Thiabendazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Thiacloprid,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Thiacloprid [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Thiamethoxam,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Thiamethoxam [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Thiodicarb,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Thiodicarb [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Thiophanate-methyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Thiophanate-methyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Tolclofos-methyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Tolclofos-methyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Triadimefon,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Triadimefon [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Triadimenol,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Triadimenol [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Triasulfuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Triasulfuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Triazophos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Triazophos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Tribenuron-methyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Tribenuron-methyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Trifloxystrobin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Trifloxystrobin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Trifluralin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Trifluralin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Triforine,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Triforine [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Trinexapac-ethyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Trinexapac-ethyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Underage workers below minimum age involved in hazardous work,child fte/kg,"A combination of restoration, compensation, prevention and retribution cost. The restoration cost expresses the costs of providing quality education for children not attending school and the costs of implementing additional components of reintegration programmes for children involved in hazardous child labour (IPEC & ILO, 2004). The compensation cost expresses the loss of future earnings when a child is prevented from attending school during youth (IPEC & ILO, 2004). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. Finally, the retribution cost represents a penalty for instances of child labour based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)","Underage Workers Below The Minimum Age Involved In Hazardous Work, Measured In Child Full-time Equivalents Per Kilogram (child Fte/kg), Refers To The Proportion Of Children Engaged In Labor Relative To The Amount Of Product Produced. This Metric Is Crucial For Highlighting Child Labor Issues, Particularly In Industries Where Children Are Exposed To Hazardous Conditions That Can Harm Their Health, Development, And Future Prospects.                                                                                        "
Uninsured non-fatal occupational incidents,incidents/kg,"A combination of compensation, prevention, and retribution costs. The compensation cost represents the average cost of medical expenses for occupational injuries not covered by the employer estimated from Dutch data and adapted to other countries using value transfer (RIVM, 2022; Stam, C. & Blatter, B., 2020; WHO, 2021), the value of health (DALY) loss in the case of non-fatal incidents and the VSL in the cause of fatal incidents as a compensation to the family of the victim (Biausque, 2012). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution costs represent a penalty for the cases in which workers perform their duties in conditions which violate Health and Safety regulations, which is based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)","Uninsured Non-fatal Occupational Incidents, Expressed As Incidents Per Kilogram (incidents/kg), Quantify The Frequency Of Workplace Accidents That Result In Injuries And Are Not Covered By Insurance, Relative To The Amount Of Product Produced. It Provides Insights Into The Safety And Health Conditions Of A Workplace.                                                                                                          "
Urban land occupation,m²a,"A compensation cost which expresses the opportunity cost of land occupation based on the value of ecosystem services for main biomes based on a meta-analysis from TEEB (de Groot et al., 2012). Country-specific factors can be derived based on biome cover per country.","Captures Land Area Occupied By Urban Infrastructure Over A Year, Reflecting The Loss Of Natural Spaces And Changes In Land Use.                                                                                                                                  "
Urban land occupation - ulop,m2a,"A compensation cost which expresses the opportunity cost of land occupation based on the value of ecosystem services for main biomes based on a meta-analysis from TEEB (de Groot et al., 2012). Country-specific factors can be derived based on biome cover per country.","Captures Land Area Occupied By Urban Infrastructure Over A Year, Reflecting The Loss Of Natural Spaces And Changes In Land Use.                                                                                                                                  "
Value of denied paid leave,chf,"The cost includes compensation, prevention, and retribution. Compensation covers lost income from denied paid leave, adjusted for inflation. Prevention funds auditing to prevent future violations. Retribution applies apenalty for lack of legally required paid leaves",                                                                                                                                                      
Vinclozolin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Vinclozolin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
