"Indicator";"Unit";"Monetisation method";"Indicator definition"
"Picloram";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Picloram [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Picoxystrobin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Picoxystrobin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Pirimicarb";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Pirimicarb [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Pirimiphos-methyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Pirimiphos-methyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Prevalence of excessive working time";"FTE/kg";"The cost includes compensation, prevention, and retribution. Compensation covers the wage gap from underpaid overtime, adjusted for inflation. Prevention funds auditing to avoid future cases. Retribution applies a global penalty for excessive or underpaid overtime.";"This metric quantifies the share of agricultural workers who work beyond legally permitted or internationally recommended working hours, relative to the output produced. Excessive working time is associated with risks of fatigue, occupational accidents, and reduced well-being.                                                                                                                  "
"Prevalence of forced workers in situations of debt bondage";"FTE/kg";"The cost includes restoration, compensation, prevention, and retribution. Restoration covers lost earnings and reintegration costs for forced workers. Compensation values health impacts using DALY for abuse victims. Prevention funds auditing to prevent future cases. Retribution applies a global penalty for forced labor. Additional costs for harassment may be included if applicable.";"Quantifies the number of individuals trapped in exploitative labor due to debts they cannot repay, a severe form of modern slavery.                                                                                                                                  "
"Prevalence of modern slavery (forced workers, most severe)";"FTE/kg";"The cost includes restoration, compensation, prevention, and retribution. Restoration covers lost earnings and reintegration costs for forced workers. Compensation values health impacts using DALY for abuse victims. Prevention funds auditing to prevent future cases. Retribution applies a global penalty for forced labor. Additional costs for harassment may be included if applicable.";"Tracks extreme cases of forced labor where workers face threats, violence, or complete loss of autonomy, highlighting severe exploitation.                                                                                                                                    "
"Prochloraz";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Prochloraz [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Procymidone";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Procymidone [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Profenofos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Profenofos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Propachlor";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Propachlor [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Propanil";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Propanil [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Propargite";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Propargite [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Propiconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Propiconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Propoxur";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Propoxur [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Prothioconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Prothioconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Pyraclostrobin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Pyraclostrobin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Pyrazophos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Pyrazophos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Pyriproxyfen";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Pyriproxyfen [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Pyroxsulam";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Pyroxsulam [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Quinalphos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Quinalphos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Quinoxyfen";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Quinoxyfen [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Rotenone";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Rotenone [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Saflufenacil";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Saflufenacil [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Simazine";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Simazine [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Spirodiclofen";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Spirodiclofen [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Spiromesifen";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Spiromesifen [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Stratospheric ozone depletion";"kg cfc11 eq";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at human health damage (morbidity, i.e., sickness and disease, and premature mortality). The endpoint valuation of human health is based on valuation of a DALY (Disability Adjusted Life Year). The global Recipe 2016 midpoint to endpoint conversion factor for Ozone layer depleting emissions is utilised to derive the monetisation factor (Huijbregts et al., 2016). The monetisation factor for ozone layer depleting emissions also includes the cost of damage to agricultural crops taken from CE Delft (De Bruyn et al., 2018). The cost of damage to agricultural crops represents average damage costs for ozone depletion for an average emission source in the Netherlands. Although the damage could be different in different geographies, for example because of different thickness of the ozone layer, at the moment the value is used without adjustments for different countries due to the lack of an appropriate coefficient for regional adjustments. (True Price 2023)";"Ozone depletion [kg CFC-11-Eq] measures the potential for substances to deplete the ozone layer, expressed in kilograms of CFC-11 (trichlorofluoromethane) equivalent. The ozone layer in the Earth's stratosphere protects life by blocking harmful ultraviolet (UV) radiation from the sun. Ozone-depleting substances (ODS) such as chlorofluorocarbons (CFCs), halons, and other halogenated compounds can break down ozone molecules, thinning this protective layer. Ozone depletion leads to increased UV radiation reaching the Earth's surface, which can cause skin cancer, cataracts, and immune system suppression in humans, as well as harm ecosystems, marine life, and agriculture.                                                           "
"Sulcotrione";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Sulcotrione [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Tebuconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Tebuconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Tebufenozide";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Tebufenozide [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Tebufenpyrad";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Tebufenpyrad [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Teflubenzuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Teflubenzuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Terbufos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Terbufos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Terrestrial acidification";"kg so2 eq";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost, as described above for ecotoxicity. Recipe 2016 midpoint to endpoint conversion factors for acidification are utilised to derive the monetisation factors (Huijbregts et al., 2016). At midpoint level, the indicator has only global monetisation. Country-specific conversion factors can be used for individual gases (NH3, SOx, NOx), with the method described in (Galgani, Woltjer, et al., 2023). (True Price 2023)";"Terrestrial acidification occurs when soil acidity deviates detrimentally from this optimal level. Environmental acidification is caused by sulfur and nitrogen oxides emitted by anthropogenic and natural sources. On farmland, the main causes of soil acidification are the application of ammonium- and urea-based fertilizers, elemental sulfur-based fertilizers and legume growth. Acidification leads to the deterioration of forests and surface waters, particularly in areas with poor soil quality. It also has an impact on crop growth, and therefore yields, as soil pH affects the bioavailability of plant nutrients.                                                                 "
"Terrestrial acidification - tap100";"kg so2-eq";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost, as described above for ecotoxicity. Recipe 2016 midpoint to endpoint conversion factors for acidification are utilised to derive the monetisation factors (Huijbregts et al., 2016). At midpoint level, the indicator has only global monetisation. Country-specific conversion factors can be used for individual gases (NH3, SOx, NOx), with the method described in (Galgani, Woltjer, et al., 2023). (True Price 2023)";"Terrestrial acidification occurs when soil acidity deviates detrimentally from this optimal level. Environmental acidification is caused by sulfur and nitrogen oxides emitted by anthropogenic and natural sources. On farmland, the main causes of soil acidification are the application of ammonium- and urea-based fertilizers, elemental sulfur-based fertilizers and legume growth. Acidification leads to the deterioration of forests and surface waters, particularly in areas with poor soil quality. It also has an impact on crop growth, and therefore yields, as soil pH affects the bioavailability of plant nutrients.                                                                 "
"Terrestrial ecotoxicity";"kg 1,4-dcb";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)";"Terrestrial ecotoxicity [kg 1,4-DCB] refers to the potential of biological, chemical or physical stressors to affect terrestrial ecosystems. The contamination of ecosystems by toxic chemicals from human activities has become a global problem, with millions of tonnes of potentially toxic chemicals entering the environment every year. Many of these chemicals produce toxic metabolites that have harmful effects on living organisms and are liable to bioaccumulate and biomagnify. Pesticide inputs to soils and adjacent water bodies are the result of agricultural activities.                                                                      "
"Terrestrial ecotoxicity - tetpinf";"kg 1,4-dcb-eq";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)";"Terrestrial ecotoxicity [kg 1,4-DCB] refers to the potential of biological, chemical or physical stressors to affect terrestrial ecosystems. The contamination of ecosystems by toxic chemicals from human activities has become a global problem, with millions of tonnes of potentially toxic chemicals entering the environment every year. Many of these chemicals produce toxic metabolites that have harmful effects on living organisms and are liable to bioaccumulate and biomagnify. Pesticide inputs to soils and adjacent water bodies are the result of agricultural activities.                                                                      "
"Thiabendazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Thiabendazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Thiacloprid";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Thiacloprid [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Thiamethoxam";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Thiamethoxam [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Thiodicarb";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Thiodicarb [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Thiophanate-methyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Thiophanate-methyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Tolclofos-methyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Tolclofos-methyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Triadimefon";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Triadimefon [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Triadimenol";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Triadimenol [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Triasulfuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Triasulfuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Triazophos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Triazophos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Tribenuron-methyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Tribenuron-methyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Trifloxystrobin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Trifloxystrobin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Trifluralin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Trifluralin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Triforine";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Triforine [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Trinexapac-ethyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Trinexapac-ethyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Underage workers below minimum age involved in hazardous work";"child fte/kg";"A combination of restoration, compensation, prevention and retribution cost. The restoration cost expresses the costs of providing quality education for children not attending school and the costs of implementing additional components of reintegration programmes for children involved in hazardous child labour (IPEC & ILO, 2004). The compensation cost expresses the loss of future earnings when a child is prevented from attending school during youth (IPEC & ILO, 2004). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. Finally, the retribution cost represents a penalty for instances of child labour based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Underage workers below the minimum age involved in hazardous work, measured in child full-time equivalents per kilogram (child FTE/kg), refers to the proportion of children engaged in labor relative to the amount of product produced. This metric is crucial for highlighting child labor issues, particularly in industries where children are exposed to hazardous conditions that can harm their health, development, and future prospects.                                                                                        "
"Uninsured non-fatal occupational incidents";"incidents/kg";"A combination of compensation, prevention, and retribution costs. The compensation cost represents the average cost of medical expenses for occupational injuries not covered by the employer estimated from Dutch data and adapted to other countries using value transfer (RIVM, 2022; Stam, C. & Blatter, B., 2020; WHO, 2021), the value of health (DALY) loss in the case of non-fatal incidents and the VSL in the cause of fatal incidents as a compensation to the family of the victim (Biausque, 2012). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution costs represent a penalty for the cases in which workers perform their duties in conditions which violate Health and Safety regulations, which is based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Uninsured non-fatal occupational incidents, expressed as incidents per kilogram (incidents/kg), quantify the frequency of workplace accidents that result in injuries and are not covered by insurance, relative to the amount of product produced. It provides insights into the safety and health conditions of a workplace.                                                                                                          "
"Urban land occupation";"m\B2a";"A compensation cost which expresses the opportunity cost of land occupation based on the value of ecosystem services for main biomes based on a meta-analysis from TEEB (de Groot et al., 2012). Country-specific factors can be derived based on biome cover per country.";"Captures land area occupied by urban infrastructure over a year, reflecting the loss of natural spaces and changes in land use.                                                                                                                                  "
"Urban land occupation - ulop";"m2a";"A compensation cost which expresses the opportunity cost of land occupation based on the value of ecosystem services for main biomes based on a meta-analysis from TEEB (de Groot et al., 2012). Country-specific factors can be derived based on biome cover per country.";"Captures land area occupied by urban infrastructure over a year, reflecting the loss of natural spaces and changes in land use.                                                                                                                                  "
"Value of denied paid leave";"chf";"The cost includes compensation, prevention, and retribution. Compensation covers lost income from denied paid leave, adjusted for inflation. Prevention funds auditing to prevent future violations. Retribution applies apenalty for lack of legally required paid leaves";"                                                                                                                                                      "
"Vinclozolin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Vinclozolin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Wage gap from gender discrimination";"chf/kg";"A combination of restoration, prevention, and retribution costs. The restoration cost represents the restitution of wage lost due to denied maternity leave, gender discrimination and unequal opportunities, corrected for an increase in consumer prices (annual inflation) due to delayed income. The prevention cost expresses the cost of generic auditing setup, to prevent future instances of discrimination. (True Price 2023)";"Wage gap from gender discrimination [CHF/kg] quantifies the difference in earnings between male and female workers, adjusted for output produced. This metric is important as it highlights the economic disparities stemming from gender-based discrimination in the workplace, reflecting systemic inequalities that can affect women's livelihoods and overall economic stability.                                                                                                      "
"Wage gap of workers earning above minimum wage but below decent living wage";"chf/kg";"A combination of compensation, prevention, and retribution costs. The compensation cost expresses the gap to a decent living wage, corrected for an increase in consumer prices (annual inflation) due to delayed income. The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution cost represents a penalty for the amount of the wage gap that is below the legal minimum wage, based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Wage gap of workers earning above minimum wage but below decent living wage [CHF/kg] quantifies the difference between the earnings of these workers and the threshold of a decent living wage relative to the output produced. This metric is crucial for understanding the economic challenges faced by employees who may earn more than the legal minimum but still lack sufficient income to meet basic needs and maintain a decent standard of living.                                                                               "
"Wage gap of workers earning below minimum wage";"chf/kg";"A combination of compensation, prevention, and retribution costs. The compensation cost expresses the gap to a decent living wage, corrected for an increase in consumer prices (annual inflation) due to delayed income. The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution cost represents a penalty for the amount of the wage gap that is below the legal minimum wage, based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Wage gap of workers earning below minimum wage [CHF/kg] quantifies the difference between the earnings of these workers and the legal minimum wage relative to the output produced. This metric highlights the extent of economic exploitation and labor rights violations in the workforce, reflecting serious issues of income insecurity and unfair labor practices.                                                                                                  "
"Warfarin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Warfarin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Water consumption";"m3";"A restoration cost which expresses the annualized cost of desalination, including the cost of operation and maintenance, electrical and thermal energy, as well as the cost of covering and repaying initial capital and operational costs of desalination (World Bank, 2012). (True Price 2023)";"Water consumption [m3] can be defined as the use of water in such a way that it is evaporated, incorporated into products, transferred to other watersheds or discharged into the sea. It is thus no longer available in the watershed of origin for humans and ecosystems. Water resources are under increasing pressure from population growth and rising food demand, with agricultural production accounting for the bulk of the world's freshwater consumption. Water depletion can have a direct impact on aquatic organisms, reducing crop yields and leading to malnutrition.                                                               "
"Water depletion - wdp";"m3";"A restoration cost which expresses the annualized cost of desalination, including the cost of operation and maintenance, electrical and thermal energy, as well as the cost of covering and repaying initial capital and operational costs of desalination (World Bank, 2012). (True Price 2023)";"Water depletion [m3] can be defined as the use of water in such a way that it is evaporated, incorporated into products, transferred to other watersheds or discharged into the sea. It is thus no longer available in the watershed of origin for humans and ecosystems. Water resources are under increasing pressure from population growth and rising food demand, with agricultural production accounting for the bulk of the world's freshwater consumption. Water depletion can have a direct impact on aquatic organisms, reducing crop yields and leading to malnutrition.                                                               "
"Women with denied maternity leave";"women/kg";"The cost includes compensation, prevention, and retribution. Compensation covers lost income from maternity paid leave, adjusted for inflation. Prevention funds auditing to prevent future violations. Retribution applies apenalty for lack of legally required maternity leaves";"Measures instances where female workers are legally entitled to maternity leave but are not granted it, indicating enforcement failures and workplace discrimination.                                                                                                                                 "
"Workers performing illegal overtime";"fte";"The cost includes compensation, prevention, and retribution. Compensation covers lost income from denied paid leave, adjusted for inflation. Prevention funds auditing to prevent future violations. Retribution applies apenalty for lack of legally required paid leaves";"Not sure this is correct name                                                                                                                                                 "
"Workers with denied paid leave";"fte/kg";"A combination of compensation, prevention, and retribution costs. The compensation cost represents the restitution of the denied paid leave, corrected for an increase in consumer prices (annual inflation) due to delayed income. The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution cost represents a penalty for the workers without social security, in the case of a legal requirement by law, based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Workers with denied paid leave [FTE/kg] refers to the proportion of employees who do not receive any form of paid leave\97such as sick leave, vacation days, or parental leave\97relative to the total workforce. This metric is important for assessing labor rights and employee well-being, as the lack of paid leave can lead to financial insecurity and negatively impact workers' health and productivity.                                                                                         "
"Workers without legal social security";"fte/kg";"A combination of compensation, prevention, and retribution costs. The compensation cost represents the restitution of the denied paid leave, corrected for an increase in consumer prices (annual inflation) due to delayed income. The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution cost represents a penalty for the workers without social security, in the case of a legal requirement by law, based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Workers without legal social security [FTE/kg], expressed in full-time equivalents per kilogram, quantifies the number of employees lacking access to legally mandated social security benefits relative to the amount of product produced. This metric is essential for assessing the extent of labor protections and social safety nets available to workers, particularly in industries where informal labor practices are prevalent.                                                                                            "
"Workers without paid leave provision";"USD/kg";"The cost includes compensation, prevention, and retribution. Compensation covers lost income from denied paid leave, adjusted for inflation. Prevention funds auditing to prevent future violations. Retribution applies apenalty for lack of legally required paid leaves";"Measures the number of employees without compensation for time off, including sick leave and vacation, which can contribute to worker fatigue and economic stress.                                                                                                                               "
"Ziram";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Ziram [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
